Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude
Afghanistan,2020,97.7,33.2,9.35,,,0.12,0,0.68,85,702.888,,,,-2.3511007,516.747871,60,652230,33.93911,67.709953
Albania,2020,100,81.3,,,,0,0,5.31,100,11158.003,,,,-3.9553979,5246.29231,105,28748,41.153332,20.168331
Algeria,2020,99.80413,99.7,15.64,,,72.01,0,0.72,0.9899628,14933.807,,,0.29789943,-5.1,3306.85821,18,2381741,28.033886,1.659626
Angola,2020,46.89061,50.2,115.43,,,4.49,0,12.1,72.9355,3527.16,,,,-5.3999874,1776.16687,26,1246700,-11.202692,17.873887
Antigua and Barbuda,2020,100,100,167.98,,,0.31,0,0.02,6.060606,27785.227,,,,-20.192371,13992.7445,223,443,17.060816,-61.796428
Argentina,2020,100,99.9,311.28,,,91.58,10.06,37.05,33.967842,19314.066,,,12.179417,-9.895269,8579.01777,17,2780400,-38.416097,-63.616672
Armenia,2020,100,98.1,484.04,,,2.98,2.55,1.92,59.999996,17086.047,,,,-7.4,4266.01807,104,29743,40.069099,45.038189
Aruba,2020,100,,356.86,,,0.73,0,0.15,17.045456,43496.94,,,,,,590,179,12.52111,-69.96833
Australia,2020,100,100,,,,186.92,0,63.99,25.503168,61826.21,,,10.789811,-0.0038366,51692.8428,3,7741220,-25.274398,133.775136
Austria,2020,100,100,,,,13.77,0,55.42,80.098274,45028.27,,,38.26067,-6.7345141,48586.8013,109,83871,47.516231,14.550072
Azerbaijan,2020,100,96.8,127.35,,,23.16,0,1.22,5.0041018,17803.629,,,1.9758317,-4.3,4221.40748,123,86600,40.143105,47.576927
Bahamas,2020,100,100,5.68,,,1.99,0,0,0,33301.77,,,,,,41,13878,25.025885,-78.035889
Bahrain,2020,100,100,6.13,,,29.85,0,0.01,0.03348962,156095.8,,,,-5.0851802,20409.9528,"2,239",765,26.0667,50.5577
